,day,precipitation,temp_max,temp_avg,temp_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,pressure_max,pressure_avg,pressure_min,month,year
0,1,0.00,75,57.1,0,59,50.0,0,94,68.9,0,18,14.3,9,25.3,22.5,0.0,1,2015
1,2,0.00,73,62.0,0,57,52.8,0,94,70.5,0,21,15.0,9,25.3,24.3,0.0,1,2015
2,3,0.00,77,66.8,59,61,57.1,55,94,73.4,53,14,9.8,0,25.3,25.3,25.2,1,2015
3,4,0.00,75,67.2,61,61,58.9,55,94,76.2,50,21,15.4,9,25.4,25.3,25.3,1,2015
4,5,0.00,72,61.0,0,59,53.8,0,94,75.0,0,23,18.4,0,25.4,24.4,0.0,1,2015
5,6,0.00,68,59.9,0,59,52.0,0,94,73.1,0,25,20.2,14,25.4,24.3,0.0,1,2015
6,7,0.00,70,59.9,0,54,50.2,0,82,66.8,0,25,18.9,0,25.4,24.3,0.0,1,2015
7,8,0.00,72,57.5,0,55,49.0,0,94,68.0,0,28,20.9,16,25.4,23.3,0.0,1,2015
8,9,0.00,72,60.8,52,55,51.8,48,94,74.6,46,23,17.1,14,25.4,24.3,0.0,1,2015
9,10,0.00,70,58.3,0,55,51.0,0,88,73.4,0,23,16.3,12,25.4,24.2,0.0,1,2015
10,11,0.00,73,63.8,57,59,55.2,52,94,75.4,53,18,13.1,9,25.4,25.3,25.3,1,2015
11,12,0.00,75,62.0,0,59,54.3,0,94,74.2,0,23,14.9,9,25.4,24.3,0.0,1,2015
12,13,0.00,72,59.9,0,59,52.7,0,94,72.0,0,21,16.1,12,25.4,23.4,0.0,1,2015
13,14,0.00,72,64.1,59,59,56.9,54,94,79.3,57,21,14.5,0,25.3,25.3,25.3,1,2015
14,15,0.00,73,64.9,59,59,57.6,55,100,79.2,57,18,14.5,12,25.4,25.3,25.3,1,2015
15,16,0.00,70,62.9,59,59,57.0,55,94,82.4,64,21,16.6,12,25.4,25.4,25.3,1,2015
16,17,0.00,73,61.0,0,57,53.5,0,94,74.3,0,21,13.8,9,25.4,24.3,0.0,1,2015
17,18,0.00,73,62.3,57,57,53.7,50,94,75.6,47,23,15.7,7,25.4,25.4,25.3,1,2015
18,19,0.00,73,62.7,55,55,53.6,52,94,73.6,50,18,15.2,12,25.4,25.3,25.3,1,2015
19,20,0.00,77,59.8,0,66,50.4,0,94,68.7,0,16,8.4,0,25.3,23.9,0.0,1,2015
20,22,0.00,68,48.1,0,61,45.5,0,100,66.5,0,7,5.0,0,25.3,19.0,0.0,1,2015
21,23,0.00,77,50.3,0,61,44.4,0,100,60.5,0,12,4.6,0,25.3,19.4,0.0,1,2015
22,24,0.00,73,64.2,57,61,54.7,52,94,72.5,50,25,16.9,7,25.4,25.3,25.3,1,2015
23,25,0.00,73,61.5,54,54,51.6,48,88,71.2,50,18,15.9,12,25.3,25.3,25.0,1,2015
24,26,0.00,70,60.6,54,54,52.4,52,94,75.1,53,21,17.3,12,25.4,25.3,25.3,1,2015
25,27,0.00,70,59.8,54,68,51.5,48,94,75.0,53,21,16.8,12,25.4,25.4,25.3,1,2015
26,28,0.00,70,57.6,50,57,47.1,43,88,70.7,40,23,17.9,12,25.4,25.3,25.3,1,2015
27,29,0.00,68,57.8,50,52,47.9,45,94,71.4,49,23,18.5,12,25.4,25.3,25.3,1,2015
28,30,0.00,70,59.0,52,52,47.9,43,88,68.0,46,23,17.8,9,25.4,25.3,25.3,1,2015
29,31,0.00,70,57.6,0,54,49.6,0,94,72.3,0,18,14.9,0,25.4,24.3,0.0,1,2015
30,1,0.00,79,62.1,0,61,53.1,0,94,71.4,0,14,7.6,0,25.3,24.3,0.0,2,2015
31,2,0.00,77,63.8,0,57,51.2,0,94,63.4,0,18,9.8,0,25.3,24.3,0.0,2,2015
32,3,0.00,75,64.3,59,57,55.6,54,88,75.4,47,18,13.6,7,25.3,25.3,25.2,2,2015
33,4,0.00,77,60.0,0,59,50.4,0,94,65.8,0,18,12.1,0,25.3,23.3,0.0,2,2015
34,5,0.00,70,59.8,0,59,52.4,0,94,73.5,0,21,14.3,7,25.4,24.3,0.0,2,2015
35,6,0.00,72,62.9,57,55,51.7,48,88,67.9,50,25,20.6,16,25.4,25.3,25.3,2,2015
36,7,0.00,72,56.4,0,54,46.9,0,88,64.5,0,23,15.1,9,47.6,24.2,0.0,2,2015
37,8,0.00,77,63.0,54,59,54.8,50,94,76.3,47,16,9.7,0,25.4,25.3,25.2,2,2015
38,9,0.00,77,62.5,0,61,53.8,0,94,71.7,0,14,6.6,0,25.3,24.2,0.0,2,2015
39,10,0.00,75,59.0,0,61,50.3,0,94,67.3,0,14,10.7,5,25.3,23.1,0.0,2,2015
40,11,0.00,73,57.6,0,59,51.4,0,94,73.6,0,14,8.1,0,25.3,23.4,0.0,2,2015
41,12,0.00,75,64.2,57,57,55.1,54,94,74.6,47,16,10.4,5,25.4,25.3,25.2,2,2015
42,13,0.00,70,61.5,55,55,51.8,48,88,71.3,53,23,17.0,12,25.4,25.4,25.3,2,2015
43,14,0.00,66,58.8,54,54,49.9,48,88,72.7,52,23,18.8,14,25.4,25.4,25.3,2,2015
44,15,0.00,70,59.5,52,52,49.9,46,88,72.3,49,18,15.7,12,25.4,25.3,25.3,2,2015
45,16,0.00,79,63.4,52,61,53.6,50,94,73.7,39,16,8.6,0,25.3,25.3,25.2,2,2015
46,17,0.00,81,66.1,55,61,56.6,54,100,74.0,47,12,5.4,0,25.3,25.3,25.2,2,2015
47,18,0.00,75,64.9,59,55,54.6,54,88,70.6,50,21,15.1,5,25.4,25.3,25.3,2,2015
48,19,0.00,72,63.4,57,55,54.1,52,88,73.2,50,23,18.6,12,25.4,25.4,25.3,2,2015
49,20,0.00,72,60.8,54,55,53.2,50,94,77.9,53,21,14.3,12,25.4,25.3,25.3,2,2015
50,21,0.00,79,65.3,57,61,55.3,52,94,72.6,42,14,8.6,0,25.3,25.3,25.2,2,2015
51,22,0.00,81,68.2,59,59,54.6,48,94,67.3,32,18,12.7,7,25.3,25.3,25.2,2,2015
52,23,0.00,79,62.2,0,59,51.5,0,94,63.9,0,23,14.6,7,25.4,23.4,0.0,2,2015
53,24,0.00,77,61.2,0,61,52.0,0,94,67.4,0,21,14.2,9,25.4,23.4,0.0,2,2015
54,25,0.00,79,66.6,57,63,56.7,54,94,72.9,42,16,11.3,0,25.3,25.3,25.2,2,2015
55,26,0.00,77,64.3,0,63,55.8,0,94,72.1,0,16,7.6,0,25.3,24.2,0.0,2,2015
56,27,0.00,79,68.2,61,61,56.8,52,94,69.9,39,23,12.8,5,25.3,25.3,25.2,2,2015
