,day,precipitation,temp_max,temp_avg,temp_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,pressure_max,pressure_avg,pressure_min,month,year
0,1,0.00,77,61.5,0,61,51.6,0,94,66.5,0,14,9.1,0,25.3,23.3,0.0,1,2020
1,2,0.00,77,65.2,55,61,56.9,52,94,75.9,50,12,6.3,0,25.3,25.2,25.1,1,2020
2,3,0.00,75,61.2,0,61,54.1,0,94,71.7,0,16,7.2,0,25.3,23.3,0.0,1,2020
3,4,0.00,73,61.4,0,61,54.8,0,94,76.5,0,28,16.5,5,25.4,24.3,0.0,1,2020
4,5,0.00,72,61.0,55,52,49.7,48,82,67.1,49,25,20.2,14,25.4,25.4,25.3,1,2020
5,6,0.00,73,62.8,55,57,53.2,50,88,72.0,53,21,14.1,0,25.4,25.3,25.3,1,2020
6,7,0.00,73,53.5,0,57,47.0,0,100,67.0,0,23,17.1,12,25.4,21.7,0.0,1,2020
7,8,0.00,72,58.3,0,55,49.7,0,88,66.3,0,25,21.6,14,25.4,23.4,0.0,1,2020
8,9,0.00,73,63.8,57,57,54.8,52,88,73.4,53,25,19.9,14,25.3,25.3,24.8,1,2020
9,10,0.00,75,67.2,61,59,56.4,54,94,70.5,50,21,15.2,9,25.3,25.2,25.1,1,2020
10,11,0.00,79,65.3,0,59,54.3,0,94,67.0,0,21,13.6,7,25.3,24.2,0.0,1,2020
11,12,0.00,77,66.6,61,59,57.0,55,94,73.9,47,23,17.5,14,25.3,25.2,25.2,1,2020
12,13,0.00,77,67.2,61,59,56.7,54,94,71.2,44,23,17.0,9,25.3,25.3,25.2,1,2020
13,14,0.00,75,66.9,61,59,57.3,55,88,73.3,53,25,18.5,14,25.3,25.2,25.2,1,2020
14,15,0.00,73,57.1,0,59,49.0,0,94,66.2,0,25,18.4,12,25.3,23.3,0.0,1,2020
15,16,0.00,73,58.6,0,59,50.8,0,94,69.6,0,25,19.4,14,25.3,23.3,0.0,1,2020
16,17,0.00,75,63.3,0,57,54.2,0,94,70.5,0,23,17.6,12,25.3,24.2,0.0,1,2020
17,18,0.00,77,66.5,61,61,59.3,57,94,79.5,50,23,16.2,12,25.3,25.2,25.2,1,2020
18,19,0.00,77,64.0,0,59,53.7,0,88,68.8,0,23,17.2,9,25.3,24.2,0.0,1,2020
19,20,0.00,73,64.5,59,57,55.2,52,94,73.8,53,23,20.1,14,25.4,25.3,25.3,1,2020
