,day,precipitation,temp_max,temp_avg,temp_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,pressure_max,pressure_avg,pressure_min
0,1,0.00,81,69.9,63,59,56.5,54,82,64.7,39,18,14.0,9,25.3,25.3,25.2
1,2,0.00,82,70.8,61,61,55.9,52,94,62.4,37,21,13.1,9,25.3,25.3,25.2
2,3,0.00,84,63.7,0,63,50.4,0,88,55.3,0,14,9.9,5,25.3,22.4,0.0
3,4,0.00,84,66.3,0,66,55.0,0,94,63.2,0,14,9.2,3,25.3,23.3,0.0
4,5,0.00,81,61.7,0,64,54.9,0,88,68.4,0,14,6.8,0,25.3,22.4,0.0
5,6,0.00,81,69.1,0,64,58.8,0,94,67.5,0,14,9.0,0,25.3,24.2,0.0
6,7,0.00,81,71.4,64,63,60.4,55,94,70.1,42,16,11.5,7,25.3,25.2,25.2
7,8,0.00,84,60.1,0,64,53.2,0,94,65.6,0,16,9.3,5,25.3,21.6,0.0
8,9,0.00,82,64.9,0,66,58.1,0,94,72.8,0,16,5.8,0,25.3,23.3,0.0
9,10,0.00,84,67.3,0,66,57.5,0,94,66.0,0,21,10.5,3,25.3,23.3,0.0
10,11,0.00,81,71.7,66,63,59.9,55,88,67.7,48,18,14.4,9,25.3,25.3,25.2
11,12,0.00,82,69.1,0,66,58.3,0,88,66.8,0,14,7.6,0,25.3,24.2,0.0
12,13,0.00,84,58.5,0,68,53.1,0,100,67.7,0,16,5.7,0,25.3,20.9,0.0
13,14,0.00,82,65.3,0,70,59.1,0,100,74.6,0,16,6.1,0,25.3,23.3,0.0
14,15,0.00,82,68.4,0,70,62.0,0,94,78.0,0,16,7.1,0,25.2,24.2,0.0
15,16,0.00,81,67.9,0,64,61.0,0,100,76.4,0,18,9.0,0,25.2,24.2,0.0
16,17,0.00,81,61.0,0,66,54.1,0,100,66.6,0,14,6.5,0,25.3,21.7,0.0
17,18,0.00,84,66.1,0,66,56.7,0,94,67.0,0,14,8.3,0,25.3,23.3,0.0
18,19,0.00,84,55.2,0,66,48.1,0,94,57.5,0,14,8.4,0,25.3,19.5,0.0
19,20,0.00,79,64.5,0,66,58.6,0,100,75.1,0,18,7.5,0,25.3,23.3,0.0
20,21,0.00,81,67.6,0,66,60.9,0,94,76.7,0,14,7.5,0,25.2,24.2,0.0
21,22,0.00,77,59.5,0,64,54.1,0,100,69.4,0,9,4.5,0,25.2,21.6,0.0
22,23,0.00,81,71.3,66,66,64.0,63,94,79.5,54,16,9.1,0,25.3,25.2,25.1
23,24,0.00,82,72.5,63,66,63.7,59,100,76.0,54,14,6.5,0,25.2,25.2,25.1
24,25,0.00,82,62.4,0,66,54.5,0,100,64.3,0,16,7.9,0,25.2,21.6,0.0
25,26,0.00,86,60.7,0,68,53.0,0,100,61.5,0,18,7.0,0,25.3,20.8,0.0
26,27,0.00,73,65.1,0,64,60.0,0,94,79.4,0,7,4.6,0,25.3,24.2,0.0
27,28,0.00,77,55.8,0,64,50.5,0,94,66.9,0,12,5.4,0,25.3,20.9,0.0
28,29,0.00,75,59.8,0,63,54.9,0,100,73.9,0,16,4.3,0,25.3,22.4,0.0
29,30,0.00,70,60.5,0,66,58.6,0,100,85.2,0,14,5.5,0,25.2,23.2,0.0
30,31,0.00,66,59.0,0,64,58.3,0,100,89.3,0,18,10.2,2,25.2,23.2,0.0
